控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_ba27a1df2a40cc2f63697dfc71f86c79.png,5,0.1686746987951807,7,10,37
view_83a89454cfb3eaad6b69218a01725efe.png,10,0.13253012048192772,11,26,59
view_03873cb330123484b28437172d028393.png,10,0.7590361445783133,24,26,59
view_0702af1b9b25fd7f1de5a51d009bf36c.png,10,0.9518072289156626,25,26,59
view_52aab8a65f4106aa0022d30a17056599.png,16,0.12048192771084337,14,32,100
view_036db19dd3ca2bfe15721c3150990f86.png,16,0.13253012048192772,18,32,100
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,21,0.08433734939759036,1,27,150
view_388d4340422c2e5da6110b736456d4b7.png,21,0.13253012048192772,13,27,150
view_7cbf91c5b6613436461d57f32909d0e9.png,21,0.1686746987951807,18,27,150
view_6699c5c7b85728194b0e746ce23b8fe9.png,28,0.3253012048192771,12,16,215
view_bed672cef70c91b21e0092a3bbffb37b.png,28,0.39759036144578314,14,16,215
view_abbd77f276adb08b7f823e93930b5507.png,31,0.03614457831325301,1,3,246
view_a4264a050fbc1523de3338d64580ba79.png,37,0.10843373493975904,0,10,274
view_4d03888ec5acebf863fb8debe4535ffb.png,51,0.14457831325301204,3,13,420
view_56c274f21b5a47c36d6491eeec801b77.png,52,0.26506024096385544,5,6,428
view_e483dd3105d6f69d4ca07dd704591063.png,57,0.1686746987951807,4,6,490
view_10c848e6af2d7371e7c8063e46ff610c.png,58,0.3373493975903614,14,17,499
view_48f72e7fb6e500559fd750d5456ef584.png,60,0.08433734939759036,2,3,526
view_69d0f1bb75ac90746cb81b7943ad209e.png,63,0.1566265060240964,6,9,575
view_b189627e1375d433fe899275dffd499e.png,63,0.37349397590361444,7,9,575
view_c545dfece6f46c4594b005bd68055924.png,63,0.7469879518072289,8,9,575
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,65,0.12048192771084337,15,40,592
view_1b7713bc6b808e56e533c6512cba249f.png,65,0.4578313253012048,38,40,592
view_ac28492f1787a95585bf168676e5e07e.png,67,0.1686746987951807,5,8,611
view_cb998351b18907c11d8dbd43fff35ea5.png,67,0.1686746987951807,6,8,611
view_9099969ab4a16a477182d4d0a355d0bc.png,68,0.18072289156626506,9,14,629
view_a5af5ebb87c06b9e8f612da9c70128a0.png,75,0.6626506024096386,10,11,698
view_8f31eb7e5a23c5234243c915c5f14acf.png,87,0.18072289156626506,4,5,769
view_453a65384090d62e4aa9582ec6ec5b69.png,116,0.1566265060240964,3,6,1611
view_7721915c5adce47fc5fb59f6d39733c0.png,120,0.08433734939759036,0,4,1812
view_6036d6a923e2fc4b26cb85b4324b61fd.png,125,0.13253012048192772,0,5,1945
