控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_a5af5ebb87c06b9e8f612da9c70128a0.png,1,0.3548387096774194,47,2215,0
view_0702af1b9b25fd7f1de5a51d009bf36c.png,1,0.45161290322580644,89,2215,0
view_1b7713bc6b808e56e533c6512cba249f.png,1,0.5161290322580645,146,2215,0
view_56c274f21b5a47c36d6491eeec801b77.png,1,0.5806451612903226,207,2215,0
view_c545dfece6f46c4594b005bd68055924.png,1,0.5806451612903226,227,2215,0
view_03873cb330123484b28437172d028393.png,1,0.5806451612903226,229,2215,0
view_7d4f42222b3a2e60272f7dbe81828f8f.png,1,0.6129032258064516,230,2215,0
view_7cbf91c5b6613436461d57f32909d0e9.png,1,0.6451612903225806,297,2215,0
view_bed672cef70c91b21e0092a3bbffb37b.png,1,0.6451612903225806,310,2215,0
view_036db19dd3ca2bfe15721c3150990f86.png,1,0.6451612903225806,317,2215,0
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,1,0.6451612903225806,330,2215,0
view_ba27a1df2a40cc2f63697dfc71f86c79.png,1,0.6774193548387096,389,2215,0
view_6699c5c7b85728194b0e746ce23b8fe9.png,1,0.6774193548387096,408,2215,0
view_9099969ab4a16a477182d4d0a355d0bc.png,1,0.7096774193548387,501,2215,0
view_52aab8a65f4106aa0022d30a17056599.png,1,0.7096774193548387,514,2215,0
view_cb998351b18907c11d8dbd43fff35ea5.png,1,0.7096774193548387,516,2215,0
view_10c848e6af2d7371e7c8063e46ff610c.png,1,0.7096774193548387,527,2215,0
view_69d0f1bb75ac90746cb81b7943ad209e.png,1,0.7096774193548387,540,2215,0
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,1,0.7419354838709677,638,2215,0
view_bd781c541b489ee3e8c5e46f3e3bb4e5.png,1,0.7419354838709677,711,2215,0
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,1,0.7741935483870968,791,2215,0
view_48f72e7fb6e500559fd750d5456ef584.png,1,0.7741935483870968,819,2215,0
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,1,0.7741935483870968,876,2215,0
view_388d4340422c2e5da6110b736456d4b7.png,1,0.7741935483870968,992,2215,0
view_ac28492f1787a95585bf168676e5e07e.png,1,0.8064516129032258,1038,2215,0
view_b4c4b445f9430b3128f4aa72894244a2.png,1,0.8064516129032258,1155,2215,0
view_6036d6a923e2fc4b26cb85b4324b61fd.png,1,0.8064516129032258,1176,2215,0
view_a25f6186706916f9d65f5bb47b4986f9.png,1,0.8064516129032258,1316,2215,0
view_a4264a050fbc1523de3338d64580ba79.png,1,0.8387096774193549,1392,2215,0
view_ca8c093974517c20c9f70b9dd0064138.png,1,0.8387096774193549,1407,2215,0
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,1,0.8387096774193549,1440,2215,0
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,1,0.8387096774193549,1459,2215,0
view_7721915c5adce47fc5fb59f6d39733c0.png,1,0.8387096774193549,1470,2215,0
view_b189627e1375d433fe899275dffd499e.png,1,0.8387096774193549,1584,2215,0
view_e483dd3105d6f69d4ca07dd704591063.png,1,0.8387096774193549,1677,2215,0
view_83a89454cfb3eaad6b69218a01725efe.png,1,0.8387096774193549,1684,2215,0
view_4d03888ec5acebf863fb8debe4535ffb.png,1,0.8709677419354839,1804,2215,0
view_22f8db485079b90257155acbdfb2cc48.png,1,0.8709677419354839,1850,2215,0
view_44a2a3cd455836de372ed9701f3e7581.png,1,0.9032258064516129,2127,2215,0
view_abbd77f276adb08b7f823e93930b5507.png,17,0.5483870967741935,1,5,60
view_8f31eb7e5a23c5234243c915c5f14acf.png,37,0.4838709677419355,2,14,425
view_9b02136d8db23bec0831104e52963547.png,78,0.9032258064516129,1,3,213
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,81,0.8387096774193549,0,3,372
view_8fea87349e5bc20d45bce60c7e81d7b8.png,91,0.7096774193548387,2,4,797
view_453a65384090d62e4aa9582ec6ec5b69.png,93,0.5806451612903226,5,7,39
view_e5781695fe273ec9a262860979d49e00.png,99,0.7419354838709677,3,4,410
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,125,0.8709677419354839,1,3,123
view_2fecd352e53d0f934542a5bfa095083a.png,131,0.8387096774193549,0,3,100
view_a32f613e211adbcddeaabd1d5cd7e261.png,137,0.5806451612903226,1,5,217
view_b856a7325a2f336fdf1c94e6fb3311b6.png,141,0.8709677419354839,1,3,36
