控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_a4264a050fbc1523de3338d64580ba79.png,5,0.9318181818181818,16,19,28
view_ba27a1df2a40cc2f63697dfc71f86c79.png,6,0.7045454545454546,9,11,42
view_0702af1b9b25fd7f1de5a51d009bf36c.png,11,0.5681818181818182,6,46,66
view_10c848e6af2d7371e7c8063e46ff610c.png,11,0.6136363636363636,11,46,66
view_83a89454cfb3eaad6b69218a01725efe.png,11,0.8636363636363636,27,46,66
view_03873cb330123484b28437172d028393.png,11,0.8636363636363636,28,46,66
view_036db19dd3ca2bfe15721c3150990f86.png,20,0.7727272727272727,7,57,118
view_52aab8a65f4106aa0022d30a17056599.png,20,0.7727272727272727,9,57,118
view_e483dd3105d6f69d4ca07dd704591063.png,20,0.9318181818181818,55,57,118
view_7cbf91c5b6613436461d57f32909d0e9.png,27,0.8863636363636364,17,38,174
view_388d4340422c2e5da6110b736456d4b7.png,27,0.9090909090909091,27,38,174
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,27,0.9545454545454546,31,38,174
view_bd781c541b489ee3e8c5e46f3e3bb4e5.png,36,0.8181818181818182,2,3,270
view_abbd77f276adb08b7f823e93930b5507.png,39,0.6363636363636364,0,3,284
view_4d03888ec5acebf863fb8debe4535ffb.png,59,0.7045454545454546,12,15,479
view_56c274f21b5a47c36d6491eeec801b77.png,60,0.45454545454545453,0,6,487
view_8f31eb7e5a23c5234243c915c5f14acf.png,67,0.6590909090909091,5,7,577
view_e5781695fe273ec9a262860979d49e00.png,70,0.6590909090909091,8,15,595
view_48f72e7fb6e500559fd750d5456ef584.png,71,0.4772727272727273,0,6,604
view_a5af5ebb87c06b9e8f612da9c70128a0.png,72,0.7727272727272727,10,16,641
view_b189627e1375d433fe899275dffd499e.png,74,0.4090909090909091,0,9,658
view_69d0f1bb75ac90746cb81b7943ad209e.png,74,0.5,2,9,658
view_c545dfece6f46c4594b005bd68055924.png,74,0.75,5,9,658
view_1b7713bc6b808e56e533c6512cba249f.png,76,0.6590909090909091,0,54,676
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,76,0.9318181818181818,47,54,676
view_ac28492f1787a95585bf168676e5e07e.png,78,0.5681818181818182,1,8,699
view_cb998351b18907c11d8dbd43fff35ea5.png,78,0.7272727272727273,7,8,699
view_9099969ab4a16a477182d4d0a355d0bc.png,80,0.6136363636363636,2,16,717
view_453a65384090d62e4aa9582ec6ec5b69.png,131,0.7045454545454546,4,6,1841
view_7721915c5adce47fc5fb59f6d39733c0.png,139,0.7272727272727273,1,4,2058
view_6036d6a923e2fc4b26cb85b4324b61fd.png,144,0.7727272727272727,5,9,2199
