控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_e483dd3105d6f69d4ca07dd704591063.png,4,0.4666666666666667,1,10,39
view_10c848e6af2d7371e7c8063e46ff610c.png,9,0.43333333333333335,2,13,117
view_0702af1b9b25fd7f1de5a51d009bf36c.png,27,0.2,0,26,5
view_03873cb330123484b28437172d028393.png,27,0.5,3,26,5
view_83a89454cfb3eaad6b69218a01725efe.png,27,0.6666666666666666,22,26,5
view_1b7713bc6b808e56e533c6512cba249f.png,36,0.3333333333333333,1,30,553
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,36,0.5333333333333333,9,30,553
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,40,0.9,2,3,258
view_bed672cef70c91b21e0092a3bbffb37b.png,41,0.3333333333333333,0,14,83
view_ac28492f1787a95585bf168676e5e07e.png,43,0.5666666666666667,1,5,76
view_bb275cd494d93b8e04fdf46f1f22028a.png,47,0.6,8,12,278
view_56c274f21b5a47c36d6491eeec801b77.png,53,0.36666666666666664,0,9,288
view_a5af5ebb87c06b9e8f612da9c70128a0.png,55,0.3333333333333333,0,12,549
view_c545dfece6f46c4594b005bd68055924.png,59,0.5,3,14,353
view_69d0f1bb75ac90746cb81b7943ad209e.png,59,0.5333333333333333,5,14,353
view_b189627e1375d433fe899275dffd499e.png,59,0.5666666666666667,6,14,353
view_9099969ab4a16a477182d4d0a355d0bc.png,72,0.43333333333333335,1,7,57
view_a3bd5f6a4b49068832ef89711954db0e.png,80,0.6666666666666666,4,5,330
view_453a65384090d62e4aa9582ec6ec5b69.png,95,0.5,0,6,91
view_95f67622e5147705d104f32148611b5b.png,101,0.5333333333333333,1,6,196
view_48f72e7fb6e500559fd750d5456ef584.png,102,0.8333333333333334,1,3,67
view_7d4f42222b3a2e60272f7dbe81828f8f.png,106,0.3333333333333333,0,7,95
view_bd781c541b489ee3e8c5e46f3e3bb4e5.png,115,0.6,4,7,220
view_ca8c093974517c20c9f70b9dd0064138.png,120,0.8333333333333334,0,3,66
view_7cbf91c5b6613436461d57f32909d0e9.png,126,0.43333333333333335,4,28,548
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,126,0.6666666666666666,14,28,548
view_388d4340422c2e5da6110b736456d4b7.png,126,0.7,23,28,548
view_52aab8a65f4106aa0022d30a17056599.png,132,0.6333333333333333,0,4,189
view_a4264a050fbc1523de3338d64580ba79.png,139,0.5666666666666667,4,10,102
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,157,0.6666666666666666,7,9,69
view_4d03888ec5acebf863fb8debe4535ffb.png,169,0.5666666666666667,6,13,132
view_ba27a1df2a40cc2f63697dfc71f86c79.png,201,0.5,3,10,111
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,203,0.5,1,7,78
view_7721915c5adce47fc5fb59f6d39733c0.png,227,0.7666666666666667,3,4,61
view_036db19dd3ca2bfe15721c3150990f86.png,277,0.6333333333333333,3,5,187
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,289,0.7333333333333333,1,4,31
view_cb998351b18907c11d8dbd43fff35ea5.png,292,0.8333333333333334,1,3,77
view_8f31eb7e5a23c5234243c915c5f14acf.png,307,0.5333333333333333,4,7,6
view_2fecd352e53d0f934542a5bfa095083a.png,333,0.9,2,3,562
view_6036d6a923e2fc4b26cb85b4324b61fd.png,337,0.6,3,6,291
view_b520db2a0e8f47d47e36a9bc8597aaf4.png,347,0.8666666666666667,1,3,11
view_33a7a439057d102525c55da9fe1b0ace.png,381,0.4666666666666667,0,7,480
view_c6ff152fa1f117da252ea351460521be.png,389,0.43333333333333335,0,4,384
view_a191fdabea2ce5f6881da31a011655f8.png,392,0.5333333333333333,1,5,178
view_47862d2d0bb064be0cfa6e6198aad64d.png,396,0.7,2,4,199
