控件icon名,包含簇号,命中百分比,簇内排序,簇内控件总数,原始簇号
view_10c848e6af2d7371e7c8063e46ff610c.png,5,0.4772727272727273,1,13,17
view_0702af1b9b25fd7f1de5a51d009bf36c.png,15,0.45454545454545453,3,26,87
view_03873cb330123484b28437172d028393.png,15,0.75,9,26,87
view_83a89454cfb3eaad6b69218a01725efe.png,15,0.75,10,26,87
view_040d498befe8a982688743bb8a15e2e4.png,17,0.7272727272727273,9,38,92
view_40d146529e883647970c8e6ad7828aee.png,17,0.8863636363636364,34,38,92
view_1b7713bc6b808e56e533c6512cba249f.png,20,0.6363636363636364,2,30,115
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,20,0.8863636363636364,26,30,115
view_bed672cef70c91b21e0092a3bbffb37b.png,21,0.38636363636363635,2,14,131
view_a5af5ebb87c06b9e8f612da9c70128a0.png,27,0.5681818181818182,2,9,230
view_453a65384090d62e4aa9582ec6ec5b69.png,38,0.6590909090909091,2,6,446
view_b189627e1375d433fe899275dffd499e.png,46,0.4090909090909091,0,6,602
view_69d0f1bb75ac90746cb81b7943ad209e.png,46,0.45454545454545453,1,6,602
view_7cbf91c5b6613436461d57f32909d0e9.png,48,0.7954545454545454,10,27,620
view_388d4340422c2e5da6110b736456d4b7.png,48,0.8181818181818182,16,27,620
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,48,0.9090909090909091,21,27,620
view_52aab8a65f4106aa0022d30a17056599.png,49,0.5454545454545454,0,4,647
view_4d03888ec5acebf863fb8debe4535ffb.png,58,0.6590909090909091,7,12,879
view_56c274f21b5a47c36d6491eeec801b77.png,71,0.7727272727272727,1,3,1081
view_036db19dd3ca2bfe15721c3150990f86.png,100,0.75,3,4,1759
view_8f31eb7e5a23c5234243c915c5f14acf.png,114,0.6363636363636364,3,5,2063
view_a4264a050fbc1523de3338d64580ba79.png,117,0.9090909090909091,7,9,2275
view_6036d6a923e2fc4b26cb85b4324b61fd.png,124,0.7954545454545454,2,4,2506
view_e483dd3105d6f69d4ca07dd704591063.png,127,0.8181818181818182,2,3,2529
view_ba27a1df2a40cc2f63697dfc71f86c79.png,138,0.6363636363636364,5,7,3036
